Player,Week,Role,Team,K,D,U,FK,FD,Ress,Points,Pts/10
Seagull,16,Tank,Dallas Fuel,88,49,20,24,9,0,274,25.37
TviQ,16,Offense,Florida Mayhem,54,76,44,13,16,0,70,6.68
aKm,16,Offense,Dallas Fuel,10,8,5,0,0,0,17,11.25
uNKOE,16,Support,Dallas Fuel,0,0,0,0,0,0,0,0.0
Taimou,16,Offense,Dallas Fuel,67,55,39,20,8,0,268,28.86
chipshajen,16,Support,Dallas Fuel,29,51,42,4,14,0,150,13.89
HarryHook,16,Support,Dallas Fuel,6,45,38,1,7,42,141,13.06
cocco,16,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
Dayfly,16,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
ArHaN,16,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
Bunny,16,Offense,Los Angeles Valiant,5,6,5,2,2,0,9,9.23
zunba,16,Tank,Seoul Dynasty,51,44,4,7,4,0,94,9.03
Gamsu,16,Tank,Boston Uprising,30,54,21,2,8,0,69,8.05
Rascal,16,Offense,Dallas Fuel,0,0,0,0,0,0,0,0.0
Birdring,16,Offense,London Spitfire,61,76,41,17,14,0,93,10.37
ryujehong,16,Support,Seoul Dynasty,29,70,33,6,20,0,100,9.6
tobi,16,Support,Seoul Dynasty,0,20,22,0,1,25,82,15.7
Miro,16,Tank,Seoul Dynasty,0,0,0,0,0,0,0,0.0
MekO,16,Tank,New York Excelsior,54,39,9,6,1,0,119,12.78
Saebyeolbe,16,Offense,New York Excelsior,88,35,44,25,7,0,221,26.24
janus,16,Tank,New York Excelsior,20,18,14,1,2,0,66,15.3
Gambler,16,Support,Seoul Dynasty,0,16,16,0,2,15,51,9.82
KuKi,16,Tank,Seoul Dynasty,0,0,0,0,0,0,0,0.0
munchkin,16,Offense,Seoul Dynasty,51,41,31,10,14,0,84,13.07
Surefour,16,Offense,Los Angeles Gladiators,91,45,50,22,11,0,209,20.41
Custa,16,Support,Los Angeles Valiant,0,23,33,0,2,39,131,15.75
iddqd,16,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
coolmatt,16,Tank,Houston Outlaws,33,14,1,7,0,0,83,14.09
clockwork,16,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
GrimReality,16,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Agilities,16,Offense,Los Angeles Valiant,76,45,35,22,12,0,162,19.48
ShaDowBurn,16,Offense,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Rawkus,16,Support,Houston Outlaws,32,36,34,6,8,0,170,17.74
FCTFCTN,16,Tank,Houston Outlaws,0,0,0,0,0,0,0,0.0
Manneten,16,Tank,Florida Mayhem,28,50,2,3,8,0,16,1.8
SoOn,16,Offense,Los Angeles Valiant,62,41,46,18,12,0,141,16.95
Zebbosai,16,Support,Florida Mayhem,4,69,40,0,14,38,93,8.87
Nevix,16,Tank,San Francisco Shock,34,33,5,4,5,0,61,6.23
